Rent (INR),Location,Distance from College (km)
6000,Subhash Nagar,2.6
10000,Subhash Nagar,3.7
5500,"Lane-10, Post Office Road",1.7
12000,ISBT road,3.3
9500,air force colony,7.2
3500,GK army Pre Primary School,9.7
8500,Tibetan Colony,3.0
10000,air force colony,6.6
9000,"Subhash Nagar, Dehradun",4.2
4500,Shubhash Nagar,6.3
4500,"Subhash Nagar, Dehradun",3.5
3500,Bharuwala colony,0.9
4500,Bell Road,0.6
3000,Manav Kendra,4.6
11000,Shubhash Nagar,1.4
4500,"Clement Town, Post Office Road, Lane No 10",1.1
7000,air force colony,1.8
12500,"Lane-2, Clement Town, Dehradun",8.8
8000,Sahastradhara,5.6
3500,"Clement Town, Post Office Road, Lane No 10",9.3
10500,"Lane-2, Clement Town, Dehradun",4.2
7000,ISBT road,3.3
12500,GK army Pre Primary School,0.9
10500,ISBT road,3.3
6000,"Clement Town, Post Office Road, Lane No 10",0.5
7500,St Mary Church,10.0
10500,ISBT road,3.3
10500,Sahastradhara,9.2
3500,Clement Town,7.3
5500,"Lane-10, Post Office Road",7.1
9500,Clement Town,5.5
6500,ISBT road,3.3
5500,Sahastradhara,9.8
12000,Bell Road,7.1
11000,air force colony,7.7
6500,ISBT road,3.3
7000,"Lane-2, Clement Town, Dehradun",1.7
5500,"Lane-2, Clement Town, Dehradun",2.0
9500,Subhash Nagar,3.4
4000,Sahastradhara,2.8
8500,air force colony,1.0
7000,Shubhash Nagar,6.4
9000,Bharuwala colony,6.0
9000,"Clement Town, Post Office Road, Lane No 10",8.4
4000,"Lane-2, Clement Town, Dehradun",9.4
4500,"Clement Town, Post Office Road, Lane No 10",4.2
12500,Tibetan Colony,4.1
11500,Bharuwala colony,9.9
5000,Tibetan Colony,2.1
12000,Bell Road,7.4
9500,Manav Kendra,8.8
11500,Sahastradhara,7.2
9000,Subhash Nagar,4.7
8500,"Lane-3, Clement Town, Dehradun",3.6
5500,Clement Town,7.8
11500,Clement Town,8.6
3000,air force colony,3.8
4500,"Lane-10, Post Office Road",4.7
9500,Manav Kendra,7.2
9000,Bharuwala colony,5.8
10500,Tibetan Colony,5.4
6500,"Lane No 2C, Post Office Road, Clement Town, Dehradun",6.8
4500,Subhash Nagar,6.7
8500,Bell Road,8.6
7000,GK army Pre Primary School,8.3
12000,air force colony,6.0
11000,St Mary Church,2.4
8000,"Lane-3, Clement Town, Dehradun",3.8
10500,Tibetan Colony,4.6
7500,Bell Road,9.9
3500,ISBT road,3.3
12500,Bell Road,1.6
3000,Bharuwala colony,5.8
7000,ISBT road,3.3
8000,Sahastradhara,4.5
4000,Bharuwala colony,7.6
9000,"Lane No 2C, Post Office Road, Clement Town, Dehradun",6.5
7500,Sahastradhara,5.9
8000,"Lane-10, Post Office Road",6.4
9500,"Lane-10, Post Office Road",9.5
10000,"Lane-10, Post Office Road",8.3
3500,Tibetan Colony,1.9
9000,"Lane-2, Clement Town, Dehradun",9.4
6000,Manav Kendra,1.2
3000,Tibetan Colony,0.6
